STNF(s),STNF Length,STNF(s) alt,STNF alt Length,EQUAL WEAKEST,Lines
0.000964,1,0.000548,1,True,"[110, 288, 49, 229]"
0.003977,2,0.001164,2,True,"[245, 193, 179, 153]"
0.028686,10,0.001179,10,True,"[363, 265, 343, 125]"
0.004704,2,0.000578,2,True,"[26, 16, 64, 55]"
0.001325,4,0.000432,4,True,"[110, 90, 357, 111]"
0.074043,9,0.001207,9,True,"[244, 59, 346, 58]"
0.019445,2,0.001955,2,True,"[86, 154, 232, 367]"
0.012231,4,0.001326,4,True,"[219, 217, 122, 158]"
0.004607,5,0.000586,5,True,"[104, 325, 59, 305]"
0.003124,3,0.00091,3,True,"[338, 331, 123, 106]"
0.000416,3,0.000538,3,True,"[126, 206, 362, 335]"
0.014023,3,0.001229,3,True,"[247, 309, 164, 116]"
0.047658,7,0.001322,7,True,"[228, 304, 57, 193]"
0.046625,3,0.002518,3,True,"[189, 215, 73, 345]"
0.001494,1,0.000845,1,True,"[217, 279, 276, 108]"
1.164393,2,0.015525,2,True,"[49, 143, 66, 100]"
0.027804,5,0.001638,5,True,"[268, 345, 222, 143]"
0.048804,4,0.001821,4,True,"[318, 94, 321, 355]"
0.023731,3,0.00166,3,True,"[30, 179, 121, 257]"
0.005253,6,0.001137,6,True,"[230, 65, 344, 126]"
0.017299,2,0.001485,2,True,"[121, 174, 107, 251]"
0.134243,7,0.00403,7,True,"[35, 316, 56, 171]"
0.01507,2,0.001735,2,True,"[161, 271, 350, 182]"
0.097962,2,0.005425,2,True,"[52, 298, 187, 82]"
0.001457,4,0.000612,4,True,"[202, 196, 161, 130]"
0.009835,4,0.001175,4,True,"[366, 40, 348, 19]"
0.002871,5,0.00053,5,True,"[56, 130, 318, 278]"
0.03089,3,0.002394,3,True,"[68, 276, 323, 346]"
0.030273,2,0.001777,2,True,"[10, 148, 223, 142]"
0.019987,2,0.002607,2,True,"[179, 133, 238, 207]"
0.000469,2,0.000294,2,True,"[287, 237, 154, 173]"
0.052577,2,0.001283,2,True,"[188, 51, 97, 350]"
0.01552,3,0.001868,3,True,"[130, 261, 119, 80]"
46.668325,3,0.004133,3,True,"[138, 195, 94, 121]"
0.016965,1,0.001648,1,True,"[13, 80, 46, 235]"
0.00507,9,0.000949,9,True,"[90, 357, 112, 344]"
0.004727,1,0.00105,1,True,"[152, 279, 245, 137]"
0.023169,14,0.001624,14,True,"[251, 33, 224, 28]"
0.00241,2,0.000715,2,True,"[270, 194, 137, 310]"
110.515042,4,0.014316,4,True,"[150, 253, 45, 146]"
0.013071,4,0.001653,4,True,"[277, 354, 68, 107]"
0.003661,2,0.000906,2,True,"[181, 229, 234, 27]"
0.000531,1,0.000624,1,True,"[227, 61, 21, 107]"
0.006606,4,0.001014,4,True,"[155, 185, 125, 156]"
0.003007,2,0.000759,2,True,"[250, 325, 166, 191]"
0.009354,2,0.001494,2,True,"[176, 34, 171, 19]"
0.00148,1,0.001464,1,True,"[216, 253, 19, 224]"
0.001127,1,0.000674,1,True,"[200, 97, 219, 266]"
0.016186,4,0.001657,4,True,"[219, 221, 334, 357]"
0.180067,6,0.002406,6,True,"[236, 159, 364, 315]"
0.002497,2,0.000888,2,True,"[82, 127, 207, 15]"
0.012536,9,0.000818,9,True,"[216, 213, 297, 362]"
0.027019,5,0.001205,5,True,"[213, 361, 1, 45]"
0.033906,1,0.003216,1,True,"[99, 335, 162, 173]"
0.004125,4,0.001837,4,True,"[263, 25, 326, 285]"
0.001372,4,0.000639,4,True,"[368, 177, 236, 246]"
0.005732,3,0.000914,3,True,"[36, 355, 81, 340]"
0.198261,2,0.004698,2,True,"[206, 158, 91, 132]"
0.022644,3,0.002303,3,True,"[312, 8, 256, 139]"
0.054027,3,0.003961,3,True,"[86, 179, 313, 60]"
0.010468,1,0.001279,1,True,"[179, 279, 227, 10]"
0.046635,1,0.002702,1,True,"[63, 185, 140, 97]"
0.340452,25,0.002916,25,True,"[294, 48, 157, 46]"
0.019863,3,0.002042,3,True,"[331, 43, 309, 139]"
0.001356,1,0.000463,1,True,"[265, 319, 13, 120]"
0.006145,4,0.00072,4,True,"[265, 196, 254, 349]"
0.069944,11,0.000781,11,True,"[34, 277, 359, 64]"
0.006432,7,0.000944,7,True,"[166, 364, 141, 16]"
0.015211,2,0.001244,2,True,"[145, 207, 261, 273]"
0.012276,2,0.001104,2,True,"[104, 113, 293, 160]"
0.008891,3,0.000937,3,True,"[309, 135, 193, 235]"
0.004148,2,0.001211,2,True,"[159, 256, 180, 278]"
0.004529,3,0.00075,3,True,"[288, 176, 303, 299]"
0.003698,3,0.000569,3,True,"[368, 166, 275, 15]"
0.024439,4,0.000882,4,True,"[264, 265, 58, 196]"
0.003207,2,0.000731,2,True,"[327, 188, 16, 117]"
0.18772,3,0.003529,3,True,"[4, 9, 24, 156]"
0.291692,4,0.0063,4,True,"[204, 56, 175, 82]"
0.001657,1,0.001011,1,True,"[170, 337, 2, 341]"
0.000461,2,0.000226,2,True,"[182, 362, 60, 21]"
0.005307,1,0.001773,1,True,"[326, 93, 282, 97]"
0.003218,3,0.001095,3,True,"[13, 226, 241, 24]"
0.039021,3,0.003205,3,True,"[210, 300, 149, 166]"
0.513206,4,0.001323,4,True,"[84, 208, 232, 358]"
0.001386,4,0.000424,4,True,"[261, 165, 238, 98]"
0.362609,4,0.011712,4,True,"[295, 76, 180, 145]"
0.009075,4,0.001697,4,True,"[339, 199, 179, 229]"
0.058767,2,0.003604,2,True,"[367, 188, 111, 82]"
0.035289,13,0.000833,13,True,"[316, 357, 33, 334]"
0.009783,2,0.001518,2,True,"[249, 235, 129, 88]"
0.000456,1,0.000231,1,True,"[281, 133, 103, 290]"
0.000555,1,0.000368,1,True,"[36, 228, 243, 329]"
0.352964,2,0.00605,2,True,"[260, 149, 320, 188]"
0.036664,1,0.001493,1,True,"[228, 59, 276, 139]"
0.025748,9,0.00166,9,True,"[97, 201, 304, 76]"
0.021327,2,0.001481,2,True,"[30, 252, 157, 211]"
0.020288,2,0.002122,2,True,"[79, 267, 190, 298]"
0.094674,10,0.001418,10,True,"[95, 295, 345, 368]"
0.453745,4,0.003724,4,True,"[119, 45, 148, 328]"
0.561819,8,0.00851,8,True,"[11, 136, 146, 78]"
0.004308,7,0.00088,7,True,"[25, 199, 32, 338]"
0.010012,6,0.001701,6,True,"[189, 367, 126, 302]"
0.073318,3,0.003113,3,True,"[78, 210, 224, 134]"
0.029357,2,0.002649,2,True,"[367, 49, 16, 80]"
0.030213,5,0.001353,5,True,"[282, 92, 294, 218]"
0.001358,6,0.000308,6,True,"[359, 356, 237, 287]"
0.001617,2,0.000704,2,True,"[171, 182, 186, 289]"
0.219841,2,0.005394,2,True,"[59, 88, 53, 216]"
0.000621,2,0.000231,2,True,"[42, 198, 109, 122]"
0.111345,5,0.001444,5,True,"[221, 95, 28, 234]"
0.028467,3,0.001506,3,True,"[7, 311, 242, 192]"
0.018713,7,0.001598,7,True,"[84, 9, 136, 44]"
0.001569,1,0.000976,1,True,"[84, 9, 136, 44]"
0.028404,4,0.001369,4,True,"[84, 9, 136, 44]"
0.003964,3,0.001153,3,True,"[84, 9, 136, 44]"
0.006836,1,0.001427,1,True,"[84, 9, 136, 44]"
0.002547,4,0.000689,4,True,"[84, 9, 136, 44]"
0.009996,3,0.001345,3,True,"[84, 9, 136, 44]"
